"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 22 21:09:35 GMT 2022","Wed Jun 22 21:09:36 GMT 2022","938","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_no_data_registration",""
"passed","Wed Jun 22 21:09:59 GMT 2022","Wed Jun 22 21:10:02 GMT 2022","3199","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_posting_a_comment",""
"passed","Wed Jun 22 21:10:04 GMT 2022","Wed Jun 22 21:10:21 GMT 2022","17258","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Wed Jun 22 21:10:42 GMT 2022","Wed Jun 22 21:10:43 GMT 2022","1098","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_downloading_data_to_file",""
"passed","Wed Jun 22 21:09:43 GMT 2022","Wed Jun 22 21:09:44 GMT 2022","742","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_login_as_registered_user",""
"passed","Wed Jun 22 21:09:39 GMT 2022","Wed Jun 22 21:09:41 GMT 2022","2749","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_valid_user_registration",""
"passed","Wed Jun 22 21:10:44 GMT 2022","Wed Jun 22 21:10:47 GMT 2022","2415","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 22 21:09:45 GMT 2022","Wed Jun 22 21:09:49 GMT 2022","3872","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_listing_the_article",""
"passed","Wed Jun 22 21:09:23 GMT 2022","Wed Jun 22 21:09:33 GMT 2022","10195","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_accept_the_cookies",""
"passed","Wed Jun 22 21:10:23 GMT 2022","Wed Jun 22 21:10:31 GMT 2022","7922","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_modifying_existing_article",""
"passed","Wed Jun 22 21:10:33 GMT 2022","Wed Jun 22 21:10:40 GMT 2022","7223","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_deleting_an_article",""
"passed","Wed Jun 22 21:09:51 GMT 2022","Wed Jun 22 21:09:57 GMT 2022","5968","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_browsing_the_pages",""
