"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 22 21:43:40 GMT 2022","Wed Jun 22 21:43:50 GMT 2022","10165","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_accept_the_cookies",""
"passed","Wed Jun 22 21:44:06 GMT 2022","Wed Jun 22 21:44:12 GMT 2022","5917","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_browsing_the_pages",""
"passed","Wed Jun 22 21:44:19 GMT 2022","Wed Jun 22 21:44:36 GMT 2022","16931","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Wed Jun 22 21:44:59 GMT 2022","Wed Jun 22 21:45:02 GMT 2022","2326","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 22 21:43:52 GMT 2022","Wed Jun 22 21:43:53 GMT 2022","852","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_no_data_registration",""
"passed","Wed Jun 22 21:44:48 GMT 2022","Wed Jun 22 21:44:55 GMT 2022","7178","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_deleting_an_article",""
"passed","Wed Jun 22 21:43:55 GMT 2022","Wed Jun 22 21:43:57 GMT 2022","2447","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_valid_user_registration",""
"passed","Wed Jun 22 21:44:56 GMT 2022","Wed Jun 22 21:44:57 GMT 2022","1029","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_downloading_data_to_file",""
"passed","Wed Jun 22 21:43:59 GMT 2022","Wed Jun 22 21:43:59 GMT 2022","722","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_login_as_registered_user",""
"passed","Wed Jun 22 21:44:01 GMT 2022","Wed Jun 22 21:44:05 GMT 2022","3822","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_listing_the_article",""
"passed","Wed Jun 22 21:44:38 GMT 2022","Wed Jun 22 21:44:46 GMT 2022","7719","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_modifying_existing_article",""
"passed","Wed Jun 22 21:44:14 GMT 2022","Wed Jun 22 21:44:17 GMT 2022","3037","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_posting_a_comment",""
