"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 20 09:18:09 GMT 2022","Mon Jun 20 09:18:09 GMT 2022","732","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_login_as_registered_user",""
"passed","Mon Jun 20 09:18:57 GMT 2022","Mon Jun 20 09:19:04 GMT 2022","7188","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_deleting_an_article",""
"passed","Mon Jun 20 09:18:05 GMT 2022","Mon Jun 20 09:18:07 GMT 2022","2339","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_valid_user_registration",""
"passed","Mon Jun 20 09:19:09 GMT 2022","Mon Jun 20 09:19:11 GMT 2022","2331","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_logout",""
"passed","Mon Jun 20 09:17:50 GMT 2022","Mon Jun 20 09:18:00 GMT 2022","10076","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_accept_the_cookies",""
"passed","Mon Jun 20 09:18:17 GMT 2022","Mon Jun 20 09:18:23 GMT 2022","5938","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_browsing_the_pages",""
"passed","Mon Jun 20 09:18:29 GMT 2022","Mon Jun 20 09:18:46 GMT 2022","17204","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Mon Jun 20 09:19:06 GMT 2022","Mon Jun 20 09:19:07 GMT 2022","1008","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_downloading_data_to_file",""
"passed","Mon Jun 20 09:18:11 GMT 2022","Mon Jun 20 09:18:15 GMT 2022","3811","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_listing_the_article",""
"passed","Mon Jun 20 09:18:48 GMT 2022","Mon Jun 20 09:18:55 GMT 2022","7771","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_modifying_existing_article",""
"passed","Mon Jun 20 09:18:02 GMT 2022","Mon Jun 20 09:18:03 GMT 2022","871","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_no_data_registration",""
"passed","Mon Jun 20 09:18:24 GMT 2022","Mon Jun 20 09:18:27 GMT 2022","3032","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_posting_a_comment",""
